Date,Open,High,Low,Last,Close
2017-09-22,839.9,839.9,813.2,816.95,817.4
2017-09-21,847,851.7,836.25,842.95,841.35
2017-09-20,856.1,872.5,845.1,848,847.15
2017-09-19,848.7,848.75,837,839,838.6
2017-09-18,850,851.05,843.1,845.2,845.55
2017-09-15,842,852.85,834.75,842,841.8
2017-09-14,855.8,861.5,842,844.2,843.85
2017-09-13,824,859.9,822,853.4,849
2017-09-12,822.75,825,817,824.5,823.75
2017-09-11,821.3,826.85,816.55,819.5,817.9
2017-09-08,820,823.25,812.1,816.95,816.9
2017-09-07,823,832.5,815,816.6,818.1
2017-09-06,1626.4,1652.5,1622.8,1644,1645.4
2017-09-05,1630,1634.85,1621.05,1632.15,1632.6
2017-09-04,1615.5,1636.15,1595.85,1615,1613.35
2017-09-01,1599.85,1616.6,1599,1611.95,1610.1
2017-08-31,1575,1597.45,1574,1595.4,1594.5
2017-08-30,1547.55,1568.8,1541.25,1563.5,1564.1
2017-08-29,1561.85,1567.5,1530,1532.05,1532.15
2017-08-28,1579.05,1581.95,1561.2,1564.75,1566.55
2017-08-24,1590,1593.1,1564.5,1570,1568.05
2017-08-23,1564.85,1586.55,1553.15,1582.55,1582.05
2017-08-22,1572,1579.9,1556.05,1560.1,1560.05
2017-08-21,1577,1584.15,1560.25,1564.3,1564.4
2017-08-18,1564,1577.8,1553.15,1576.25,1575.4
2017-08-17,1569,1597.65,1561.15,1563,1567.1
2017-08-16,1572,1576,1550.2,1576,1566.1
2017-08-14,1561,1584.5,1561,1572.2,1573.05
2017-08-11,1550.95,1580,1533,1545.5,1546.25
2017-08-10,1593.05,1606.65,1577.95,1593.75,1584.35
2017-08-09,1601.5,1620,1585,1595,1598.8
2017-08-08,1618,1621.05,1586.8,1604.6,1602.55
2017-08-07,1631.6,1631.6,1612.55,1618,1616.35
2017-08-04,1663,1663,1615.1,1626.5,1622.15
2017-08-03,1626.85,1664.9,1617.05,1654,1650.1
2017-08-02,1610,1635.7,1608.1,1625.1,1629.2
2017-08-01,1622.75,1622.75,1591.5,1605.8,1603.6
2017-07-31,1601.95,1618.8,1596,1615.45,1615.2
2017-07-28,1591.25,1605.95,1578,1594,1594.45
2017-07-27,1628,1631.5,1588.35,1592.8,1594.8
2017-07-26,1604.2,1629.9,1601.1,1621.15,1622.75
2017-07-25,1624.7,1624.95,1597.6,1602.5,1602.15
2017-07-24,1600,1624.9,1585,1619,1615.25
2017-07-21,1550,1591.7,1544.95,1584,1585
2017-07-20,1539.75,1550,1523.7,1526.1,1528.9
2017-07-19,1512.6,1538,1512.6,1538,1532.95
2017-07-18,1546.8,1551.8,1511,1520.5,1519.9
2017-07-17,1537,1559.6,1537,1548.7,1551.75
2017-07-14,1520,1536,1515.55,1533,1533.75
2017-07-13,1508.75,1525,1506.15,1518.6,1522.1
2017-07-12,1499.4,1525,1497.5,1511.25,1511.1
2017-07-11,1501,1504.4,1487,1496.5,1494.35
2017-07-10,1530,1550,1489.1,1491,1492.85
2017-07-07,1443,1497.75,1440,1489.5,1491.15
2017-07-06,1448.7,1450,1438,1442,1442.55
2017-07-05,1429.45,1447.45,1424,1440.05,1442.65
2017-07-04,1390,1427.1,1389,1422,1421.95
2017-07-03,1388.2,1394.7,1371,1384,1381.05
2017-06-30,1392,1392.4,1375.05,1383,1380
2017-06-29,1400,1410,1390.1,1392.35,1392.7
2017-06-28,1439.95,1439.95,1395.55,1399.8,1398.5
2017-06-27,1432,1443,1425,1439.05,1437.15
2017-06-23,1436,1442,1430.6,1432.1,1435.85
2017-06-22,1429.45,1445.4,1427.7,1434.8,1432.65
2017-06-21,1407.8,1428,1404.25,1427.75,1422
2017-06-20,1409,1422.1,1407.45,1411.05,1412.35
2017-06-19,1390.2,1415.8,1390.2,1407,1409.25
2017-06-16,1389.1,1395.8,1369.3,1387.1,1388.8
2017-06-15,1360,1395,1359.1,1377.35,1383.95
2017-06-14,1315.9,1360,1315.9,1360,1357.5
2017-06-13,1320.6,1327,1311,1312,1314.35
2017-06-12,1326.55,1329.75,1317,1319,1319.45
2017-06-09,1345.1,1352.95,1331,1332.95,1335.7
